 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Situationener , at Lars Olsen endnu har det sidste år tilbage af sin kontrakt med Trabzonspor .
1-1	Situationen	B-noun.act|B-noun.state	
6-6	et	O	
6-7	fåtal	B-noun.quantity	
6-8	af	O	
6-9	alle	O	
6-10	rygterne	B-noun.communication|B-noun.phenomenon	
6-11	,	O	
6-12	fordi	O	
6-13	jeg	O	
6-14	kun	O	
6-15	en	O	
6-16	sjælden	B-adj.time|B-adj.phys	
6-17	gang	B-noun.act|B-noun.TOP|B-noun.artifact|B-noun.location|B-noun.quantity	
6-18	køber	B-verb.possession|B-verb.act	
6-19	en	O	
6-20	tyrkisk	O	
6-21	avis	B-noun.institution|B-noun.person|B-noun.communication	
6-22	af	O	
6-23	hensyn	B-noun.cognition	
6-24	til	O	
6-25	TV-programmerne	B-noun.act	
6-26	.	O	

#id=7
#text=Isidste weekend spurgte min klub- og værelses-kammerat pludselig , hvorfor jeg ville til fransk fodbold .
7-1	I	O	
7-2	sidste	B-adj.time	
7-3	weekend	B-noun.time	
7-4	spurgte	B-verb.communication	
7-5	min	O	
7-6	klub-	O	
7-7	og	O	
7-8	værelses-kammerat	O	
7-9	pludselig	O	
7-10	,	O	
7-11	hvorfor	O	
7-12	jeg	O	
7-13	ville	B-verb.cognition	
7-14	til	O	
7-15	fransk	B-adj.social	
7-16	fodbold	B-noun.act|B-noun.artifact	
7-17	.	O	

#id=8
#text=Detviste sig , at en avis mente at vide , at franske Lyon , som vi slog i den anden Europa_Cup-runde sidste efterår , skulle være interesseret i mig .
8-1	Det	O	
8-2	viste	B-verb.social|B-verb.communication	
8-3	sig	O	
8-4	,	O	
8-5	at	O	
8-6	en	O	
8-7	avis	B-noun.institution|B-noun.person|B-noun.communication	
8-8	mente	B-verb.cognition|B-verb.communication	
8-9	at	O	
8-10	vide	B-verb.cognition|B-verb.emotion	
8-11	,	O	
8-12	at	O	
8-13	franske	B-adj.social	
8-14	Lyon	O	
8-15	,	O	
8-16	som	O	
8-17	vi	O	
8-18	slog	B-verb.social|B-verb.act|B-verb.creation|B-verb.phenomenon|B-verb.motion	
8-19	i	O	
8-20	den	O	
8-21	anden	O	
8-22	Europa_Cup-runde	O	
8-23	sidste	B-adj.time	
8-24	efterår	B-noun.time	
8-25	,	O	
8-26	skulle	B-verb.phenomenon	
8-27	være	B-verb.TOP|B-verb.social|B-verb.stative	
8-28	interesseret	B-verb.emotion	
8-29	i	O	
8-30	mig	O	
8-31	.	O	

#id=9
#text=Mensom sagt : Mit faste holdepunkt er nu en gang min kontrakt på endnu et år i Trabzonspor , hvor jeg også befinder mig fortrinligt . "
9-1	Men	O	
9-2	som	O	
9-3	sagt	B-verb.cognition|B-verb.communication|B-verb.phenomenon	
9-4	:	O	
9-5	Mit	O	
9-6	faste	B-adj.phys|B-adj.all	
9-7	holdepunkt	B-noun.plant	
9-8	er	B-verb.TOP|B-verb.social|B-verb.stative	
9-9	nu	O	
9-10	en	O	
9-11	gang	B-noun.act|B-noun.TOP|B-noun.artifact|B-noun.location|B-noun.quantity	
9-12	min	O	
9-13	kontrakt	B-noun.communication	
9-14	på	O	
9-15	endnu	O	
9-16	et	O	
9-17	år	B-noun.time	
9-18	i	O	
9-19	Trabzonspor	O	
9-20	,	O	
9-21	hvor	O	
9-22	jeg	O	
9-23	også	O	
9-24	befinder	O	
9-25	mig	O	
9-26	fortrinligt	B-adj.all	
9-27	.	O	
9-28	"	O	

