 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=ODENSE: Først i næste uge ventes det , at TV 2 offentliggør , hvem den nye overboss på Kvægtorvet skal være .
3-6	professor	B-noun.communication|B-noun.person	
3-7	Jørn	O	
3-8	Henrik	O	
3-9	Petersen	O	
3-10	,	O	
3-11	afviser	B-verb.phenomenon|B-verb.communication	
3-12	ikke	O	
3-13	,	O	
3-14	at	O	
3-15	den	O	
3-16	ny	B-adj.time	
3-17	chef	B-noun.person	
3-18	kan	B-verb.social	
3-19	tiltræde	B-verb.act|B-verb.communication	
3-20	,	O	
3-21	før	O	
3-22	Schleimanns	O	
3-23	kontrakt	B-noun.communication	
3-24	udløber	B-verb.act	
3-25	til	O	
3-26	oktober	B-noun.time	
3-27	.	O	

#id=4
#text="Det afhænger af personen , om der så skal ske en overlapning i en periode eller hvad , " siger bestyrelsesformanden .
4-1	"	O	
4-2	Det	O	
4-3	afhænger	O	
4-4	af	O	
4-5	personen	B-noun.person	
4-6	,	O	
4-7	om	O	
4-8	der	O	
4-9	så	O	
4-10	skal	B-verb.motion|B-verb.phenomenon	
4-11	ske	B-verb.phenomenon|B-verb.act	
4-12	en	O	
4-13	overlapning	O	
4-14	i	O	
4-15	en	O	
4-16	periode	B-noun.time	
4-17	eller	O	
4-18	hvad	O	
4-19	,	O	
4-20	"	O	
4-21	siger	B-verb.cognition|B-verb.communication|B-verb.phenomenon	
4-22	bestyrelsesformanden	B-noun.person	
4-23	.	O	

#id=5
#text=Detnormale i erhvervslivet i den slags situationer er , når en ny chef tiltræder , så ryger den gamle ud - uanset om hans kontrakt varer længere .
5-1	Det	O	
5-2	normale	B-adj.all	
5-3	i	O	
5-4	erhvervslivet	B-noun.institution	
5-5	i	O	
5-6	den	O	
5-7	slags	B-noun.TOP|B-noun.phenomenon|B-noun.act|B-noun.artifact|B-noun.time|B-noun.food	
5-8	situationer	B-noun.act|B-noun.state	
5-9	er	B-verb.TOP|B-verb.social|B-verb.stative	
5-10	,	O	
5-11	når	O	
5-12	en	O	
5-13	ny	B-adj.time	
5-14	chef	B-noun.person	
5-15	tiltræder	B-verb.act|B-verb.communication	
5-16	,	O	
5-17	så	O	
5-18	ryger	B-verb.change|B-verb.act|B-verb.phenomenon	
5-19	den	O	
5-20	gamle	B-adj.time	
5-21	ud	O	
5-22	-	O	
5-23	uanset	O	
5-24	om	O	
5-25	hans	O	
5-26	kontrakt	B-noun.communication	
5-27	varer	O	
5-28	længere	O	
5-29	.	O	

#id=6
#text=Detkan også ske i Schleimanns tilfælde , men ikke nødvendigvis .
6-1	Det	O	
6-2	kan	B-verb.social	
6-3	også	O	
6-4	ske	B-verb.phenomenon|B-verb.act	
6-5	i	O	
6-6	Schleimanns	O	
6-7	tilfælde	B-noun.act|B-noun.person	
6-8	,	O	
6-9	men	O	
6-10	ikke	O	
6-11	nødvendigvis	O	
6-12	.	O	

#id=7
#text=PIKANTPROBLEM
7-1	PIKANT	B-adj.all	
7-2	PROBLEM	B-noun.cognition	

#id=8
#text=Etlidt pikant problem i samme forbindelse er , hvordan Schleimanns sekretær , hans samleverske , Annie Gertz' stilling bliver .
8-1	Et	O	
8-2	lidt	O	
8-3	pikant	B-adj.all	
8-4	problem	B-noun.cognition	
8-5	i	O	
8-6	samme	O	
8-7	forbindelse	B-noun.attribute|B-noun.location|B-noun.phenomenon	
8-8	er	B-verb.TOP|B-verb.social|B-verb.stative	
8-9	,	O	
8-10	hvordan	O	
8-11	Schleimanns	O	
8-12	sekretær	B-noun.animal|B-noun.person|B-noun.artifact	
8-13	,	O	
8-14	hans	O	
8-15	samleverske	B-noun.person	
8-16	,	O	
8-17	Annie	O	
8-18	Gertz'	O	
8-19	stilling	B-noun.communication|B-noun.quantity|B-noun.phenomenon|B-noun.cognition|B-noun.person|B-noun.attribute	
8-20	bliver	B-verb.TOP|B-verb.act|B-verb.stative	
8-21	.	O	

#id=9
#text=TV_2-bestyrelsenvar i_går samlet , og selv_om alle er meget hemmelighedsfulde , så menes det nu , at Jørn Henrik Petersen og det øvrige ansættelsesudvalg har fået bemyndigelse til at lave en kontrakt med en bestemt person .
9-1	TV_2-bestyrelsen	O	
9-2	var	B-verb.TOP|B-verb.social|B-verb.stative	
9-3	i_går	O	
9-4	samlet	B-verb.change|B-verb.act|B-verb.motion	
9-5	,	O	
9-6	og	O	
9-7	selv_om	O	
9-8	alle	O	
9-9	er	B-verb.TOP|B-verb.social|B-verb.stative	
9-10	meget	O	
9-11	hemmelighedsfulde	O	
9-12	,	O	
9-13	så	O	
9-14	menes	B-verb.cognition|B-verb.communication	
9-15	det	O	
9-16	nu	O	
9-17	,	O	
9-18	at	O	
9-19	Jørn	O	
9-20	Henrik	O	
9-21	Petersen	O	
9-22	og	O	
9-23	det	O	
9-24	øvrige	O	
9-25	ansættelsesudvalg	O	
9-26	har	B-verb.perception|B-verb.communication|B-verb.phenomenon|B-verb.act|B-verb.cognition|B-verb.TOP	
9-27	fået	B-verb.change|B-verb.act|B-verb.phenomenon|B-verb.possession	
9-28	bemyndigelse	B-noun.motive	
9-29	til	O	
9-30	at	O	
9-31	lave	B-verb.phenomenon|B-verb.creation|B-verb.act|B-verb.change	
9-32	en	O	
9-33	kontrakt	B-noun.communication	
9-34	med	O	
9-35	en	O	
9-36	bestemt	B-adj.phys|B-adj.all	
9-37	person	B-noun.person	
9-38	.	O	

